State / UT,Population (2001),Population(2011),Literacy Rate (2001),Literacy Rate (2011),Area (sq km)(2001),Area (sq. km)(2011)
Uttar Pradesh,"166,197,921","199,812,341",60.47%,67.35%,"240,928","240,928"
Maharashtra,"96,878,627","112,374,333",54.34%,65.38%,"307,713","307,713"
Bihar,"82,998,509","104,099,452",63.25%,72.19%,"78,438","94,163"
West Bengal,"80,176,197","91,276,115",47.00%,61.80%,"88,752","88,752"
Andhra Pradesh,"75,727,541","84,580,777",64.66%,71.04%,"162,970","162,968"
Madhya Pradesh,"60,348,023","72,626,809",82.01%,88.70%,"308,252","308,245"
Tamil Nadu,"62,405,679","72,147,030",69.14%,78.03%,"130,060","130,060"
Rajasthan,"56,507,188","68,548,437",67.91%,75.55%,"342,239","342,239"
Karnataka,"52,850,562","61,095,297",76.48%,82.80%,"191,791","191,791"
Gujarat,"50,671,017","60,439,692",55.52%,67.16%,"196,024","196,024"
Odisha,"36,804,660","41,974,218",53.56%,66.41%,"155,707","155,707"
Kerala,"31,841,374","33,406,061",66.64%,75.36%,"38,863","38,863"
Jharkhand,"26,909,428","32,988,134",90.86%,94.00%,"40,000","79,714"
Assam,"26,655,528","31,205,576",63.74%,69.32%,"78,438","78,438"
Punjab,"24,358,999","27,743,338",76.88%,82.34%,"50,362","50,362"
Chhattisgarh,"20,833,803","25,545,198",70.50%,76.94%,"135,191","135,191"
Haryana,"21,082,989","25,351,462",62.56%,74.43%,"44,212","44,212"
Delhi,"13,850,507","16,787,941",88.80%,91.33%,"1,484","1,484"
Jammu and Kashmir,"10,143,700","12,541,302",66.59%,79.55%,"222,236","222,236"
Uttarakhand,"8,489,349","10,086,292",63.08%,72.87%,"53,483","53,483"
Himachal Pradesh,"6,077,900","6,864,602",69.65%,75.84%,"55,673","55,673"
Tripura,"3,199,203","3,673,917",60.41%,66.11%,"10,491","10,491"
Meghalaya,"2,306,069","2,966,889",68.81%,81.42%,"22,429","22,429"
Manipur,"2,293,896","2,855,794",73.45%,80.33%,"22,327","22,327"
Nagaland,"1,988,636","1,978,502",73.19%,87.22%,"16,579","16,579"
Goa,"1,347,668","1,458,545",56.27%,67.68%,"3,702","3,702"
Arunachal Pradesh,"1,091,117","1,383,727",71.62%,78.82%,"83,743","83,743"
Mizoram,"888,573","1,097,206",68.64%,76.26%,"21,081","21,081"
Sikkim,"540,851","610,577",81.30%,86.27%,"7,096","7,096"
Andaman and Nicobar Islands,"356,152","1,244,464",81.94%,86.43%,"8,249","8,249"
Chandigarh,"900,635","1,055,450",57.63%,77.65%,114,114
Dadra and Nagar Haveli,"220,490","380,581",78.18%,87.07%,491,603
Daman and Diu,"158,204","343,709",81.67%,86.21%,112,112
Lakshadweep,"60,650","242,911",86.66%,91.85%,32,32
Puducherry,"974,345","64,473",81.24%,85.85%,479,479
